param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_best_loss,val_best_top1,val_best_top5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.0001}",0.11,99.22,100.0,0.45,89.5,98.5,0.45,89.5,98.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.001}",0.11,99.22,99.87,0.47,88.0,98.0,0.47,88.0,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.52,88.0,97.5,0.52,88.0,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.55,85.5,96.5,0.55,85.5,96.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.1,99.22,99.87,0.45,89.0,98.0,0.45,89.0,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.1,99.35,99.87,0.47,87.5,97.5,0.47,87.5,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.58,87.0,96.5,0.58,87.0,96.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.53,87.5,97.0,0.53,87.5,97.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.08,99.61,100.0,0.46,89.0,99.0,0.46,89.0,99.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.001}",0.09,99.09,99.87,0.47,86.5,98.0,0.47,86.5,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,99.87,0.52,88.0,97.5,0.52,88.0,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,0.61,86.0,97.5,0.61,86.0,97.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.0001}",0.07,99.74,99.87,0.45,89.5,98.5,0.45,89.5,98.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.001}",0.07,99.22,99.87,0.44,89.0,99.0,0.44,89.0,99.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.55,87.0,97.5,0.55,87.0,97.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.54,88.0,97.5,0.54,88.0,97.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.05,99.87,100.0,0.44,89.0,98.0,0.44,89.0,98.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.06,99.61,100.0,0.45,88.5,98.0,0.45,88.5,98.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,0.54,87.0,97.0,0.54,87.0,97.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.61,100.0,0.62,84.5,97.0,0.62,84.5,97.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.04,100.0,100.0,0.44,90.0,98.0,0.44,90.0,98.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.001}",0.04,100.0,100.0,0.46,88.5,98.0,0.46,88.5,98.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.56,84.0,97.5,0.56,84.0,97.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,99.87,0.63,84.5,98.0,0.63,84.5,98.0
