param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_best_loss,val_best_top1,val_best_top5
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.12,99.09,99.87,0.48,85.0,99.0,0.48,85.0,99.0
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.11,99.22,100.0,0.52,87.0,98.5,0.52,87.0,98.5
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.52,86.5,98.5,0.52,86.5,98.5
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.54,85.0,98.0,0.54,85.0,98.0
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.09,99.48,100.0,0.52,86.5,98.5,0.52,86.5,98.5
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.07,99.61,100.0,0.53,84.5,98.0,0.53,84.5,98.0
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,99.87,0.54,85.5,97.5,0.54,85.5,97.5
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,0.61,85.0,97.5,0.61,85.0,97.5
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.07,99.74,100.0,0.49,86.5,97.5,0.49,86.5,97.5
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.07,99.48,100.0,0.54,86.0,97.5,0.54,86.0,97.5
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.67,83.0,97.5,0.67,83.0,97.5
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,0.61,83.5,98.5,0.61,83.5,98.5
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.05,99.74,100.0,0.53,86.5,96.5,0.53,86.5,96.5
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.04,99.87,99.87,0.5,87.5,98.0,0.5,87.5,98.0
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.02,99.74,100.0,0.58,84.0,97.5,0.58,84.0,97.5
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.001}",0.02,99.61,100.0,0.53,86.0,98.0,0.53,86.0,98.0
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.0001}",0.05,99.87,100.0,0.68,81.0,97.5,0.68,81.0,97.5
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.001}",0.05,99.61,99.87,0.66,83.0,96.0,0.66,83.0,96.0
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.61,83.0,97.0,0.61,83.0,97.0
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.61,84.5,96.5,0.61,84.5,96.5
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.08,99.48,100.0,0.48,89.0,98.0,0.48,89.0,98.0
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.07,99.61,100.0,0.45,87.5,98.5,0.45,87.5,98.5
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.58,86.5,97.0,0.58,86.5,97.0
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.54,86.0,98.0,0.54,86.0,98.0
"{'fact_dim': 32, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.07,99.09,99.87,0.5,86.0,97.5,0.5,86.0,97.5
"{'fact_dim': 32, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.06,99.87,100.0,0.51,86.0,98.5,0.51,86.0,98.5
"{'fact_dim': 32, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.59,84.5,97.0,0.59,84.5,97.0
