param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_best_loss,val_best_top1,val_best_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.09,99.22,99.61,0.48,87.5,98.5,0.48,87.5,98.5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.11,98.96,99.74,0.47,88.5,98.5,0.47,88.5,98.5
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.53,85.5,98.0,0.53,85.5,98.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.57,85.0,97.0,0.57,85.0,97.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.04,99.87,100.0,0.48,87.5,99.0,0.48,87.5,99.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.05,99.48,99.74,0.45,88.5,98.5,0.45,88.5,98.5
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,1.2,72.5,93.0,1.2,72.5,93.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,1.34,68.0,89.0,1.34,68.0,89.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.04,99.87,99.87,0.51,86.5,98.5,0.51,86.5,98.5
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.03,99.87,100.0,0.55,86.0,97.5,0.55,86.0,97.5
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",4.41,4.3,16.41,4.52,2.0,8.5,4.52,2.0,8.5
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",3.64,14.06,36.59,4.46,8.0,19.5,4.46,8.0,19.5
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.02,99.87,100.0,0.63,84.5,98.5,0.63,84.5,98.5
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.02,100.0,100.0,0.56,85.5,98.0,0.56,85.5,98.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",4.3,5.73,20.18,4.53,2.0,8.5,4.53,2.0,8.5
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",4.57,2.21,9.64,4.62,2.0,5.0,4.62,2.0,5.0
