param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_best_loss,val_best_top1,val_best_top5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.26,96.74,99.61,0.52,86.0,98.0,0.52,86.0,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.28,96.09,99.35,0.51,86.5,97.5,0.51,86.5,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.02,99.61,100.0,0.59,86.5,96.0,0.59,86.5,96.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.02,99.61,100.0,0.57,83.5,96.0,0.57,83.5,96.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.15,98.83,100.0,0.48,87.0,98.0,0.48,87.0,98.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.15,99.09,100.0,0.5,86.0,97.5,0.5,86.0,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.56,86.5,97.5,0.56,86.5,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.03,99.48,99.87,0.6,85.5,97.0,0.6,85.5,97.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.08,99.35,100.0,0.56,85.5,96.5,0.56,85.5,96.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.07,99.48,100.0,0.54,85.0,97.5,0.54,85.0,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.02,99.74,99.87,0.53,86.5,96.5,0.53,86.5,96.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.02,99.35,100.0,0.58,84.0,97.0,0.58,84.0,97.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.06,99.61,99.87,0.6,83.0,97.5,0.6,83.0,97.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.06,99.48,99.87,0.67,81.5,97.0,0.67,81.5,97.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.02,99.74,100.0,0.93,76.5,94.5,0.93,76.5,94.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,0.79,78.5,96.0,0.79,78.5,96.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.2,97.79,100.0,0.51,86.0,98.0,0.51,86.0,98.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.26,97.4,99.87,0.52,85.0,98.0,0.52,85.0,98.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.59,84.0,95.5,0.59,84.0,95.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.59,85.5,97.0,0.59,85.5,97.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.13,98.96,99.87,0.48,87.5,96.5,0.48,87.5,96.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.14,99.09,99.61,0.53,86.5,98.0,0.53,86.5,98.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,0.63,85.0,97.0,0.63,85.0,97.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,0.73,82.0,97.0,0.73,82.0,97.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.05,99.87,100.0,0.62,83.5,96.5,0.62,83.5,96.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.05,99.61,99.87,0.56,84.5,96.0,0.56,84.5,96.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.02,99.87,100.0,0.68,81.5,96.5,0.68,81.5,96.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.71,82.0,96.5,0.71,82.0,96.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.04,99.61,100.0,0.76,79.0,95.5,0.76,79.0,95.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.04,99.74,100.0,0.87,79.5,95.5,0.87,79.5,95.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,0.84,76.5,95.5,0.84,76.5,95.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",3.98,6.38,22.92,4.57,6.0,14.5,4.57,6.0,14.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.19,98.05,99.61,0.51,86.0,98.0,0.51,86.0,98.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.18,98.18,100.0,0.49,87.5,97.0,0.49,87.5,97.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.02,99.74,99.87,0.55,88.0,96.5,0.55,88.0,96.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.03,99.35,99.87,0.64,85.0,96.5,0.64,85.0,96.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.08,99.74,100.0,0.52,86.0,96.5,0.52,86.0,96.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.1,99.22,99.74,0.52,86.5,96.0,0.52,86.5,96.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.67,84.5,96.0,0.67,84.5,96.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,0.72,78.0,96.5,0.72,78.0,96.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.04,99.48,100.0,0.58,85.5,97.5,0.58,85.5,97.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.03,100.0,100.0,0.54,83.5,98.0,0.54,83.5,98.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.77,79.0,95.0,0.77,79.0,95.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.02,99.74,100.0,0.67,84.5,96.5,0.67,84.5,96.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.04,99.74,100.0,0.96,77.5,96.0,0.96,77.5,96.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.03,99.87,100.0,1.0,77.0,96.5,1.0,77.0,96.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",2.73,26.3,58.98,5.66,4.0,16.5,5.66,4.0,16.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",0.29,94.79,96.74,1.74,60.5,80.5,1.74,60.5,80.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.17,98.57,99.74,0.48,87.0,98.0,0.48,87.0,98.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.16,98.31,100.0,0.49,85.5,97.5,0.49,85.5,97.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.67,82.0,95.0,0.67,82.0,95.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.02,99.74,99.87,0.57,88.5,97.0,0.57,88.5,97.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.07,99.48,99.74,0.56,85.0,96.0,0.56,85.0,96.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.07,99.48,100.0,0.56,84.5,96.5,0.56,84.5,96.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,0.69,84.0,96.0,0.69,84.0,96.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,0.78,79.0,95.5,0.78,79.0,95.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.02,100.0,100.0,0.66,83.5,97.0,0.66,83.5,97.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.03,99.74,100.0,0.62,84.0,98.0,0.62,84.0,98.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.03,99.22,99.87,0.75,79.5,96.0,0.75,79.5,96.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.03,99.87,99.87,0.85,82.0,96.5,0.85,82.0,96.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.04,99.61,99.74,1.0,77.5,96.0,1.0,77.5,96.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.03,99.74,100.0,0.96,77.5,96.5,0.96,77.5,96.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",1.38,63.28,91.02,6.98,6.0,19.0,6.98,6.0,19.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",2.85,20.18,52.86,5.51,5.0,14.0,5.51,5.0,14.0
