param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_best_loss,val_best_top1,val_best_top5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.06,99.74,100.0,0.46,87.5,98.5,0.46,87.5,98.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.08,98.83,99.87,0.47,85.0,98.5,0.47,85.0,98.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.03,100.0,100.0,0.47,85.5,99.0,0.47,85.5,99.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.04,99.87,100.0,0.5,87.0,98.0,0.5,87.0,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.0001}",0.03,99.74,100.0,0.52,84.5,97.0,0.52,84.5,97.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.001}",0.03,99.74,100.0,0.54,85.0,98.0,0.54,85.0,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.0001}",0.02,100.0,100.0,0.69,81.0,95.5,0.69,81.0,95.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.001}",0.02,100.0,100.0,0.8,79.5,95.5,0.8,79.5,95.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.0001}",0.02,100.0,100.0,0.89,79.5,95.0,0.89,79.5,95.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.001}",0.02,99.87,100.0,0.88,75.5,94.5,0.88,75.5,94.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.07,99.61,99.87,0.4,89.5,98.5,0.4,89.5,98.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.06,99.48,100.0,0.45,87.5,99.0,0.45,87.5,99.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.04,99.74,99.74,0.52,84.5,98.0,0.52,84.5,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.03,99.74,100.0,0.49,86.5,98.5,0.49,86.5,98.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.0001}",0.03,99.74,100.0,0.57,85.0,97.0,0.57,85.0,97.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.001}",0.03,99.74,100.0,0.63,82.0,97.5,0.63,82.0,97.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.0001}",0.02,100.0,100.0,1.03,76.0,94.5,1.03,76.0,94.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.001}",0.02,100.0,100.0,0.91,77.0,94.0,0.91,77.0,94.0
