param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_best_loss,val_best_top1,val_best_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.37,97.92,99.74,0.94,82.5,95.0,0.94,82.5,95.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.34,97.92,99.48,0.95,81.5,95.0,0.95,81.5,95.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.35,96.88,99.35,0.95,80.5,95.5,0.95,80.5,95.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.35,97.14,99.61,0.93,81.5,95.0,0.93,81.5,95.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.31,98.57,99.61,0.93,78.5,95.0,0.93,78.5,95.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.29,97.66,99.87,0.89,78.0,95.5,0.89,78.0,95.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.31,97.79,99.87,0.87,80.0,95.5,0.87,80.0,95.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.3,98.18,99.87,0.9,80.0,96.0,0.9,80.0,96.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",0.29,97.66,99.74,0.91,80.5,95.0,0.91,80.5,95.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",0.31,97.79,99.61,0.87,81.0,95.5,0.87,81.0,95.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.05,99.48,99.87,0.84,81.5,95.0,0.84,81.5,95.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.04,99.35,99.87,0.84,81.0,93.5,0.84,81.0,93.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.04,99.74,100.0,0.8,81.5,95.5,0.8,81.5,95.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.04,99.48,99.87,0.82,80.5,95.0,0.82,80.5,95.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.04,99.35,99.87,0.81,78.5,95.5,0.81,78.5,95.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.03,99.74,100.0,0.73,81.5,96.0,0.73,81.5,96.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.03,99.48,100.0,0.82,80.0,95.5,0.82,80.0,95.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.02,99.87,100.0,0.76,79.5,96.0,0.76,79.5,96.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.05,99.09,99.74,0.82,78.5,96.5,0.82,78.5,96.5
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.03,99.48,100.0,0.81,79.5,95.5,0.81,79.5,95.5
