param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.22600000000000003,100.0,100.0,1.4739999999999998,76.0,94.6
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.22200000000000003,100.0,100.0,1.484,77.6,95.6
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.05,100.0,100.0,1.1380000000000001,77.6,95.6
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.05,100.0,100.0,1.15,77.8,94.4
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",0.588,98.17999999999999,99.896,1.1759999999999997,83.6,97.4
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",0.5959999999999999,98.856,99.74000000000001,1.1939999999999997,82.6,98.0
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.158,99.48,100.0,0.732,83.2,97.6
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.156,99.636,100.0,0.726,82.4,98.2
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",0.9199999999999999,97.65799999999999,99.74000000000001,1.302,82.0,97.6
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",0.908,97.66,99.688,1.302,81.6,97.6
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.28200000000000003,98.856,99.792,0.742,83.0,97.8
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",0.264,99.324,100.0,0.7460000000000001,84.2,97.6
