param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'fact_scaler': 0.01, 'lr': 0.0005, 'wd': 0.0001}",0.298,99.94800000000001,100.0,1.308,82.2,95.4
"{'drop_path_rate': 0, 'fact_scaler': 0.01, 'lr': 0.0005, 'wd': 0.001}",0.298,99.94800000000001,100.0,1.282,80.6,96.4
"{'drop_path_rate': 0, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.052000000000000005,100.0,100.0,0.8960000000000001,81.2,96.4
"{'drop_path_rate': 0, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.052000000000000005,100.0,100.0,0.914,81.4,96.0
"{'drop_path_rate': 0, 'fact_scaler': 0.1, 'lr': 0.0005, 'wd': 0.0001}",0.182,100.0,100.0,1.16,79.4,95.2
"{'drop_path_rate': 0, 'fact_scaler': 0.1, 'lr': 0.0005, 'wd': 0.001}",0.184,100.0,100.0,1.1320000000000001,80.2,96.0
"{'drop_path_rate': 0, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.04,100.0,100.0,0.8960000000000001,80.8,95.6
"{'drop_path_rate': 0, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.04,100.0,100.0,0.9280000000000002,79.2,95.4
"{'drop_path_rate': 0.1, 'fact_scaler': 0.01, 'lr': 0.0005, 'wd': 0.0001}",0.768,98.44000000000001,99.896,1.294,81.4,97.4
"{'drop_path_rate': 0.1, 'fact_scaler': 0.01, 'lr': 0.0005, 'wd': 0.001}",0.7699999999999999,98.284,99.84400000000001,1.296,81.2,97.2
"{'drop_path_rate': 0.1, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.18200000000000002,99.428,99.896,0.752,82.2,97.6
"{'drop_path_rate': 0.1, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.19,99.376,99.94800000000001,0.744,82.8,97.4
"{'drop_path_rate': 0.1, 'fact_scaler': 0.1, 'lr': 0.0005, 'wd': 0.0001}",0.546,99.376,99.94800000000001,1.068,82.2,97.0
"{'drop_path_rate': 0.1, 'fact_scaler': 0.1, 'lr': 0.0005, 'wd': 0.001}",0.54,98.96000000000001,100.0,1.0899999999999999,81.4,96.4
"{'drop_path_rate': 0.1, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.124,99.636,99.94800000000001,0.6859999999999999,83.0,97.8
"{'drop_path_rate': 0.1, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.126,99.584,99.94800000000001,0.696,82.0,97.6
"{'drop_path_rate': 0.2, 'fact_scaler': 0.01, 'lr': 0.0005, 'wd': 0.0001}",1.2760000000000002,95.41600000000001,99.63600000000001,1.534,80.0,97.0
"{'drop_path_rate': 0.2, 'fact_scaler': 0.01, 'lr': 0.0005, 'wd': 0.001}",1.266,95.726,99.532,1.518,79.8,97.2
"{'drop_path_rate': 0.2, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.366,98.44,99.94800000000001,0.79,81.8,97.0
"{'drop_path_rate': 0.2, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.348,98.648,99.636,0.7939999999999999,81.8,97.2
"{'drop_path_rate': 0.2, 'fact_scaler': 0.1, 'lr': 0.0005, 'wd': 0.0001}",0.924,97.03200000000001,99.792,1.256,81.6,97.0
"{'drop_path_rate': 0.2, 'fact_scaler': 0.1, 'lr': 0.0005, 'wd': 0.001}",0.8960000000000001,97.034,99.896,1.24,80.6,97.0
"{'drop_path_rate': 0.2, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.21799999999999997,99.324,99.84400000000001,0.716,83.2,97.2
"{'drop_path_rate': 0.2, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.22999999999999998,99.11600000000001,99.94800000000001,0.74,82.4,96.8
