param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.01,100.0,100.0,1.6040000000000003,67.2,89.0
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.01,100.0,100.0,1.5659999999999998,68.8,89.2
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.002,100.0,100.0,1.332,68.8,92.2
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.002,100.0,100.0,1.3379999999999999,68.0,91.0
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",0.02,100.0,100.0,1.3399999999999999,65.2,93.2
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",0.022,100.0,100.0,1.3519999999999999,67.0,91.2
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.0,100.0,100.0,3.214,37.4,67.6
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.006,100.0,100.0,2.7660000000000005,46.0,74.2
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",0.02,100.0,100.0,1.4780000000000002,64.2,89.8
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",0.02,100.0,100.0,1.468,64.0,89.0
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.008,100.0,100.0,3.3899999999999997,34.8,68.2
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",0.004,100.0,100.0,3.0519999999999996,43.4,71.0
