param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.9179999999999999,99.68800000000002,100.0,2.23,76.2,92.0
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.9180000000000001,99.68800000000002,100.0,2.2180000000000004,76.2,92.0
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.21800000000000003,100.0,100.0,1.562,75.0,92.0
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.21800000000000003,100.0,100.0,1.56,76.0,91.6
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",1.5899999999999999,96.61599999999999,99.792,2.386,74.4,92.0
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",1.586,96.50999999999999,99.532,2.388,77.2,92.0
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.598,98.54400000000001,99.84400000000001,1.564,76.0,92.4
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.5959999999999999,98.7,99.74000000000001,1.564,76.8,92.2
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",2.1919999999999997,93.802,98.96,2.6239999999999997,73.4,91.4
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",2.1860000000000004,93.69800000000001,99.168,2.6260000000000003,73.8,92.6
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",1.076,95.25999999999999,98.752,1.674,76.4,92.0
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",1.068,95.78,99.22,1.684,74.8,92.2
