param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.07,100.0,100.0,1.59,76.8,92.4
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.07,100.0,100.0,1.682,71.8,92.0
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.02,100.0,100.0,1.206,77.0,94.2
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.02,100.0,100.0,1.23,76.0,92.0
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",0.14200000000000002,100.0,100.0,0.976,80.0,96.0
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",0.15,99.94800000000001,100.0,1.016,79.2,94.8
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.038000000000000006,100.0,100.0,0.842,78.0,95.6
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.04,99.94800000000001,99.94800000000001,0.9099999999999999,76.0,94.8
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",0.26,99.74,99.94800000000001,1.002,76.8,96.0
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",0.254,99.792,99.94800000000001,1.04,76.2,95.4
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.06,99.896,100.0,0.874,76.8,95.2
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",0.068,99.896,99.896,0.8879999999999999,75.4,94.8
