param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'adapter_scaler': 0.01, 'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.5,99.896,100.0,1.7739999999999998,78.8,93.2
"{'adapter_scaler': 0.01, 'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.506,99.896,100.0,1.7740000000000002,78.4,92.4
"{'adapter_scaler': 0.01, 'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.09,100.0,100.0,1.196,80.0,94.4
"{'adapter_scaler': 0.01, 'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.09,100.0,100.0,1.186,80.2,95.0
"{'adapter_scaler': 0.01, 'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",1.6759999999999997,94.73999999999998,99.16799999999999,2.05,78.4,94.8
"{'adapter_scaler': 0.01, 'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",1.6639999999999997,95.41399999999999,99.27199999999999,2.0439999999999996,78.4,94.6
"{'adapter_scaler': 0.01, 'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.502,98.284,99.84400000000001,0.9780000000000001,80.8,96.0
"{'adapter_scaler': 0.01, 'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.5119999999999999,97.71000000000001,99.68800000000002,0.978,80.8,96.2
"{'adapter_scaler': 0.01, 'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",2.732,87.50000000000001,97.658,2.7779999999999996,73.6,92.6
"{'adapter_scaler': 0.01, 'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",2.73,86.77199999999999,97.606,2.772,75.2,93.0
"{'adapter_scaler': 0.01, 'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",1.214,92.18800000000002,98.596,1.304,78.0,95.4
"{'adapter_scaler': 0.01, 'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",1.1999999999999997,93.69800000000001,98.96000000000001,1.3139999999999998,77.4,95.4
"{'adapter_scaler': 0.1, 'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.298,99.94800000000001,100.0,1.366,81.4,96.2
"{'adapter_scaler': 0.1, 'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.296,99.94800000000001,100.0,1.38,79.8,96.2
"{'adapter_scaler': 0.1, 'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.06,100.0,100.0,1.012,79.2,96.4
"{'adapter_scaler': 0.1, 'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.06,100.0,100.0,0.992,80.8,96.8
"{'adapter_scaler': 0.1, 'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",1.112,95.78,99.42800000000001,1.4300000000000002,79.8,96.6
"{'adapter_scaler': 0.1, 'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",1.146,95.728,99.532,1.442,79.0,96.6
"{'adapter_scaler': 0.1, 'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.336,98.544,99.792,0.798,81.6,97.0
"{'adapter_scaler': 0.1, 'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.34400000000000003,98.388,99.532,0.7959999999999999,81.8,97.4
"{'adapter_scaler': 0.1, 'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",2.0520000000000005,89.63399999999999,98.544,2.044,71.8,94.0
"{'adapter_scaler': 0.1, 'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",2.032,89.008,98.23200000000001,2.018,74.4,94.2
"{'adapter_scaler': 0.1, 'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.776,95.414,99.532,1.0299999999999998,76.6,96.0
"{'adapter_scaler': 0.1, 'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",0.788,95.102,99.324,1.0239999999999998,76.4,96.4
