param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.10400000000000001,100.0,100.0,1.4140000000000001,77.0,93.4
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.10600000000000001,100.0,100.0,1.44,74.8,94.2
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.02,100.0,100.0,1.104,78.4,92.6
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.02,100.0,100.0,1.096,77.2,95.6
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",0.324,99.272,99.94800000000001,0.9279999999999999,82.8,98.2
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",0.312,99.376,99.896,0.924,83.0,97.4
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.066,99.84400000000001,100.0,0.63,82.8,97.8
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.07200000000000001,99.84400000000001,100.0,0.642,83.0,98.4
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",0.536,98.33599999999998,99.792,0.9879999999999999,82.8,97.8
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",0.53,98.596,99.84400000000001,0.984,82.0,98.2
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.126,99.74,99.896,0.636,82.4,97.6
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",0.11199999999999999,99.636,100.0,0.614,83.8,98.2
