param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.03,99.53,100.0,0.32,90.2,99.3
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.03,99.5,100.0,0.32,90.9,99.3
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.01,99.93,100.0,0.33,91.2,99.5
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.01,99.92,100.0,0.34,91.1,99.3
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",0.14,95.8,99.89,0.23,92.3,99.6
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",0.14,95.87,99.89,0.23,92.6,99.4
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.09,97.46,99.96,0.23,92.6,99.5
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.09,97.49,99.97,0.23,92.7,99.5
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",0.21,93.65,99.68,0.23,92.0,99.4
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",0.21,93.63,99.7,0.24,92.6,99.5
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.15,95.32,99.83,0.24,92.2,99.4
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",0.15,95.44,99.86,0.24,92.0,99.3
