param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.0,99.98,100.0,0.8,84.3,97.8
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.0,99.97,100.0,0.81,85.3,96.8
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.0,99.98,100.0,1.07,79.7,95.7
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.0,99.97,100.0,1.11,80.3,95.3
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",0.0,99.94,100.0,0.82,85.9,97.2
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",0.0,99.96,100.0,0.77,85.8,97.6
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.0,99.94,100.0,1.05,82.8,96.6
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.0,99.95,100.0,1.13,81.1,95.9
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",0.0,99.89,100.0,0.8,86.3,97.7
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",0.0,99.91,100.0,0.78,85.8,97.2
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.0,99.9,100.0,1.05,81.6,96.4
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",0.0,99.9,100.0,1.13,81.2,95.8
