param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.26,93.38,99.49,0.49,86.8,97.0
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.26,93.37,99.49,0.49,86.9,97.0
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.16,96.41,99.85,0.5,86.1,97.3
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.16,96.36,99.84,0.49,86.0,97.3
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",0.51,86.12,97.6,0.47,86.6,97.7
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",0.5,85.89,97.56,0.47,86.6,97.3
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.42,88.18,98.2,0.45,86.5,97.5
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.43,87.7,98.09,0.45,86.6,97.4
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",0.75,79.84,95.11,0.48,86.8,97.5
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",0.75,79.94,95.06,0.48,86.4,97.6
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.68,81.37,95.71,0.46,86.9,97.5
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",0.67,81.46,95.83,0.46,86.5,97.8
