param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.0,99.97,100.0,0.49,91.2,98.8
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.0,99.97,100.0,0.45,92.0,99.3
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.0,99.97,100.0,0.52,90.8,98.7
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.0,99.97,100.0,0.47,91.2,98.7
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",0.01,99.7,99.99,0.4,92.2,99.2
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",0.01,99.73,99.99,0.37,92.7,99.4
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.15,95.57,99.79,0.47,87.6,98.3
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.05,98.65,99.96,0.48,88.3,98.4
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",0.02,99.38,99.98,0.38,92.3,99.2
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",0.02,99.33,99.98,0.36,92.4,99.4
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.09,97.43,99.88,0.41,89.8,98.7
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",0.07,98.18,99.9,0.41,89.5,99.0
