param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.0001}",0.0,99.97,100.0,0.43,91.9,99.1
"{'drop_path_rate': 0, 'lr': 0.0005, 'wd': 0.001}",0.0,99.98,100.0,0.41,92.7,99.3
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.0001}",0.0,99.97,100.0,0.47,92.5,98.7
"{'drop_path_rate': 0, 'lr': 0.001, 'wd': 0.001}",0.0,99.97,100.0,0.46,92.5,99.1
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.0001}",0.06,98.33,99.97,0.25,92.8,99.6
"{'drop_path_rate': 0.1, 'lr': 0.0005, 'wd': 0.001}",0.06,98.32,99.97,0.26,92.3,99.5
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.03,99.14,99.98,0.27,93.6,99.3
"{'drop_path_rate': 0.1, 'lr': 0.001, 'wd': 0.001}",0.03,99.16,99.98,0.26,93.4,99.4
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.0001}",0.11,96.59,99.89,0.24,92.6,99.5
"{'drop_path_rate': 0.2, 'lr': 0.0005, 'wd': 0.001}",0.11,96.56,99.92,0.24,92.7,99.4
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.06,98.02,99.94,0.26,93.3,99.5
"{'drop_path_rate': 0.2, 'lr': 0.001, 'wd': 0.001}",0.06,98.06,99.95,0.26,93.0,99.3
