param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.05,100.0,100.0,0.13,97.0,99.5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.06,99.87,100.0,0.12,97.0,99.5
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.14,96.0,99.5
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.11,97.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.03,100.0,100.0,0.11,97.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.03,99.87,100.0,0.1,97.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",4.45,3.78,13.67,4.62,1.5,6.5
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.15,96.5,99.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.02,100.0,100.0,0.11,97.0,100.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.02,100.0,100.0,0.1,98.0,99.5
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",4.57,2.47,8.2,4.66,1.0,5.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",4.48,3.65,11.07,4.66,1.0,5.5
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.02,100.0,100.0,0.1,97.5,100.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.02,100.0,100.0,0.1,98.0,100.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",4.5,2.47,13.15,4.65,1.5,8.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",4.31,6.38,18.23,4.7,2.0,11.5
