param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.07,99.61,99.74,0.12,96.5,99.5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.05,100.0,100.0,0.1,98.0,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.05,99.87,99.87,0.11,96.5,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.05,99.74,99.87,0.14,97.0,99.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.04,99.74,100.0,0.12,97.0,99.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.04,99.87,100.0,0.11,97.5,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.03,100.0,100.0,0.21,93.5,98.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.03,100.0,100.0,0.16,94.5,99.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.01,100.0,100.0,0.11,96.5,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.0,100.0,100.0,0.11,96.5,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.02,99.61,99.74,0.11,97.0,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.0,100.0,100.0,0.1,97.0,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.01,99.87,100.0,0.09,98.0,99.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.0,100.0,100.0,0.11,97.0,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.0,100.0,100.0,0.12,97.0,98.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.0,100.0,100.0,0.13,97.0,99.0
