param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.19,99.22,100.0,0.27,96.0,99.5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.17,99.48,100.0,0.26,96.5,99.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.17,98.96,100.0,0.27,96.5,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.19,98.96,99.87,0.26,95.5,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.17,98.7,100.0,0.26,95.5,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.16,99.48,99.87,0.26,95.5,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.16,99.61,99.74,0.26,94.5,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.17,99.35,99.87,0.26,96.5,100.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",0.16,99.48,100.0,0.26,95.0,100.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",0.16,99.22,100.0,0.25,95.5,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.02,99.87,100.0,0.16,96.5,99.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.02,99.48,99.87,0.17,96.0,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.01,100.0,100.0,0.17,96.0,99.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.02,99.74,99.87,0.16,95.5,99.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.03,99.61,99.87,0.18,95.0,99.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.01,100.0,100.0,0.18,96.0,99.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.01,100.0,100.0,0.19,96.0,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.01,100.0,100.0,0.17,95.5,99.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.01,100.0,100.0,0.17,95.5,100.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.02,99.74,100.0,0.16,95.5,99.5
