param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.23,98.31,99.74,1.04,75.5,91.5
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.23,98.31,100.0,1.03,73.0,92.5
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.02,99.74,100.0,1.12,72.0,92.0
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,1.09,72.5,91.0
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.15,98.7,99.87,1.01,73.0,91.0
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.14,99.22,100.0,1.08,71.0,91.5
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,99.87,1.06,72.0,92.0
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,1.19,70.0,91.5
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.13,98.57,99.61,1.12,69.5,91.5
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.12,99.22,99.74,1.1,70.5,91.5
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,1.12,71.5,95.0
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,1.17,69.0,91.0
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.08,99.74,100.0,1.17,71.5,91.0
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.09,98.96,99.74,1.08,74.5,93.0
