param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.29,97.01,99.48,1.08,74.5,91.5
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.33,95.96,99.48,1.07,75.5,91.0
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.02,99.87,100.0,1.11,73.0,93.0
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,1.1,70.5,92.5
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.21,98.44,99.74,0.97,77.0,93.0
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.22,97.66,99.48,1.04,73.0,92.0
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.02,99.74,100.0,1.15,72.5,88.5
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,1.11,73.0,91.5
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.16,98.44,100.0,1.0,74.0,92.5
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.17,98.44,99.61,0.97,76.0,92.5
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,1.12,69.5,92.0
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,1.3,68.5,92.0
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.12,98.96,99.87,1.06,70.0,93.5
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.13,98.83,99.87,0.98,75.5,93.0
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,1.09,68.0,92.5
