param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.16,98.31,99.61,1.07,72.0,91.5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.2,97.01,99.35,1.09,71.5,92.5
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.02,99.74,100.0,1.07,72.0,94.5
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.02,99.74,100.0,1.2,69.0,92.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.06,99.87,100.0,1.14,70.0,91.5
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.08,98.96,99.87,1.13,69.0,91.5
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,1.68,60.5,88.5
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,2.12,52.5,83.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.04,99.87,99.87,1.15,71.5,93.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.04,99.87,99.87,1.3,68.5,89.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",4.32,5.6,17.19,4.6,2.5,8.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",3.61,12.37,34.77,4.43,5.0,19.5
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.03,100.0,100.0,1.28,67.5,90.5
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.04,99.87,100.0,1.23,68.5,91.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",4.06,4.95,19.66,4.62,3.0,16.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",4.43,2.99,12.63,4.68,1.0,10.0
