param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.24,97.79,99.87,1.1,69.0,92.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.21,98.57,99.87,1.07,72.0,91.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.19,98.05,99.35,1.13,66.5,91.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.22,97.4,99.35,1.21,68.5,91.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.14,99.09,99.87,1.75,57.0,83.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.12,99.22,99.87,1.54,64.0,87.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.12,98.96,100.0,1.94,52.0,84.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.12,98.96,99.87,1.8,54.5,84.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.04,99.35,99.87,1.17,71.0,90.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.02,99.74,99.87,1.15,70.5,90.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.03,99.48,99.87,1.17,70.0,91.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.03,99.48,99.87,1.27,69.0,91.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.02,99.35,99.87,1.3,69.5,89.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.02,99.87,100.0,1.21,71.5,91.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.02,99.61,99.87,1.36,64.0,90.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.01,99.87,100.0,1.37,66.0,92.5
