param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.59,95.7,99.87,1.68,62.5,84.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.64,93.1,98.44,1.69,63.0,82.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.59,94.79,98.7,1.65,61.5,84.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.59,94.27,98.96,1.66,63.5,83.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.51,96.22,99.22,1.53,65.5,86.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.54,95.18,98.57,1.62,63.5,83.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.5,96.35,99.61,1.58,65.0,88.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.53,95.57,99.61,1.61,65.5,84.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",0.51,94.92,98.96,1.58,61.5,85.5
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",0.53,95.05,99.35,1.57,63.5,87.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.09,98.57,99.74,1.8,59.0,79.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.09,98.57,99.48,1.74,58.5,79.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.09,98.18,99.61,1.74,59.0,80.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.09,98.7,99.87,1.72,59.5,79.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.09,97.92,99.22,1.64,59.5,81.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.07,98.83,99.87,1.67,60.0,82.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.07,98.57,99.87,1.66,59.0,82.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.08,98.7,99.74,1.73,57.0,79.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.07,98.7,99.74,1.67,61.5,82.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.07,98.7,100.0,1.65,62.0,83.5
