param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_best_loss,val_best_top1,val_best_top5
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.14,98.83,100.0,0.54,86.5,98.5,0.54,86.5,98.5
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.16,98.05,99.61,0.53,86.5,98.0,0.53,86.5,98.0
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.02,99.61,100.0,0.54,84.5,98.5,0.54,84.5,98.5
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,0.55,87.0,97.0,0.55,87.0,97.0
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.12,99.09,100.0,0.48,86.0,99.0,0.48,86.0,99.0
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.13,98.83,99.87,0.52,84.5,98.5,0.52,84.5,98.5
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.48,100.0,0.6,83.5,97.5,0.6,83.5,97.5
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,0.53,87.0,99.0,0.53,87.0,99.0
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.07,99.74,100.0,0.51,86.5,98.0,0.51,86.5,98.0
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.1,99.22,99.87,0.47,87.0,98.0,0.47,87.0,98.0
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,0.62,82.0,97.5,0.62,82.0,97.5
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.62,84.5,98.5,0.62,84.5,98.5
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.07,99.35,100.0,0.49,86.5,97.5,0.49,86.5,97.5
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.07,99.35,100.0,0.54,84.5,98.5,0.54,84.5,98.5
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.63,83.0,97.0,0.63,83.0,97.0
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.001}",0.01,99.61,100.0,0.6,84.5,97.5,0.6,84.5,97.5
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.0001}",0.05,99.61,100.0,0.51,87.0,98.0,0.51,87.0,98.0
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.001}",0.04,99.87,100.0,0.51,88.0,97.5,0.51,88.0,97.5
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.0001}",4.61,1.56,5.34,4.6,1.0,5.5,4.6,1.0,5.5
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.001}",4.61,1.04,5.47,4.61,1.0,5.5,4.62,1.0,4.5
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.14,98.83,99.74,0.51,86.5,98.5,0.51,86.5,98.5
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.14,98.44,100.0,0.49,86.5,99.0,0.49,86.5,99.0
