param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5,val_best_loss,val_best_top1,val_best_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.11,99.22,99.87,0.55,87.5,97.0,0.55,87.5,97.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.11,98.7,100.0,0.59,85.5,97.0,0.59,85.5,97.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.1,98.83,99.87,0.61,85.0,96.0,0.61,85.0,96.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.1,98.96,99.87,0.61,84.5,96.5,0.61,84.5,96.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.06,99.61,99.87,0.81,77.0,94.5,0.81,77.0,94.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.06,99.61,99.87,0.77,79.5,94.0,0.77,79.5,94.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.05,99.61,100.0,0.99,73.0,93.5,0.99,73.0,93.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.06,99.87,99.87,0.98,74.5,93.5,0.98,74.5,93.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.02,99.74,100.0,0.6,84.0,97.0,0.6,84.0,97.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.02,99.87,99.87,0.56,85.0,97.5,0.56,85.0,97.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.02,99.61,99.87,0.64,83.0,97.5,0.64,83.0,97.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.01,99.87,99.87,0.59,85.0,96.5,0.59,85.0,96.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.01,100.0,100.0,0.65,83.5,96.5,0.65,83.5,96.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.01,100.0,100.0,0.6,85.0,97.0,0.6,85.0,97.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.0,100.0,100.0,0.66,82.5,98.0,0.66,82.5,98.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.01,100.0,100.0,0.76,80.0,96.0,0.76,80.0,96.0
