param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.0001}",0.42,85.29,100.0,0.52,76.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.001}",0.42,86.72,100.0,0.49,79.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.0001}",0.06,97.79,100.0,0.71,76.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.001}",0.05,98.7,100.0,0.85,76.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.38,87.11,100.0,0.49,82.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.37,87.76,99.87,0.45,80.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.04,98.7,100.0,0.89,71.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.04,98.83,100.0,0.83,76.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.3,91.54,100.0,0.4,85.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.001}",0.3,90.23,100.0,0.48,79.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.0001}",0.04,99.22,100.0,0.91,71.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.001}",0.03,99.09,100.0,0.9,75.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.0001}",0.21,94.92,100.0,0.45,82.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.001}",0.24,93.23,100.0,0.44,81.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.0001}",0.03,99.35,100.0,0.9,77.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.001}",0.02,99.48,100.0,1.09,75.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.17,95.7,100.0,0.49,80.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.16,96.35,100.0,0.42,84.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.02,99.48,100.0,1.3,70.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,1.42,69.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.13,96.88,100.0,0.49,83.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.001}",0.1,98.18,100.0,0.53,79.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,1.11,72.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.001}",0.01,99.48,100.0,1.45,67.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.0001}",0.16,95.44,100.0,0.47,81.5,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.001}",0.15,96.48,100.0,0.43,83.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.0001}",0.02,99.61,100.0,1.52,65.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,1.37,67.5,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.09,98.05,100.0,0.49,86.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.09,98.18,100.0,0.61,79.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,1.4,68.5,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.02,99.22,100.0,1.56,60.5,99.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.05,99.22,100.0,0.56,80.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.001}",0.07,98.57,100.0,0.6,81.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.0001}",0.03,99.09,100.0,1.66,64.5,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.001}",0.02,99.35,100.0,1.36,68.0,100.0
