param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.16,96.35,99.87,0.57,78.0,100.0
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.18,95.18,100.0,0.56,82.5,100.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.03,99.35,100.0,0.87,76.5,100.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.03,99.09,100.0,1.06,72.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.07,98.44,100.0,0.73,79.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.09,97.66,99.87,0.65,81.5,100.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",1.6,35.16,92.97,1.64,27.0,91.5
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",1.06,52.86,99.48,2.37,30.0,87.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.06,98.44,100.0,0.6,83.0,100.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.04,99.22,100.0,0.71,81.0,100.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",1.78,29.56,86.07,1.89,22.0,83.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",1.41,41.28,96.88,2.04,23.5,85.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.03,99.48,100.0,0.93,78.5,100.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.02,99.87,100.0,0.8,81.5,100.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",1.71,32.94,89.84,1.98,22.5,80.5
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",2.02,17.71,77.21,2.03,22.5,74.0
