param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.71,74.87,100.0,0.66,76.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.71,75.13,100.0,0.68,72.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.11,96.09,100.0,0.69,76.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.09,97.79,100.0,0.56,80.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.36,88.8,100.0,0.47,81.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.41,86.98,100.0,0.45,79.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.04,98.83,100.0,0.92,78.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.07,97.92,100.0,0.84,76.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.14,96.88,100.0,0.57,80.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.15,96.48,100.0,0.59,78.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.06,99.09,100.0,1.18,69.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.04,98.7,100.0,1.03,74.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.05,98.57,100.0,0.91,76.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.09,97.79,100.0,0.77,78.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",2.08,14.58,64.45,2.08,14.0,66.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",1.35,40.89,97.92,1.49,36.5,96.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.58,78.39,100.0,0.59,77.0,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.56,81.38,99.87,0.59,73.0,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.07,98.44,100.0,0.69,76.5,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.08,97.14,100.0,0.69,76.5,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.25,93.23,100.0,0.43,83.5,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.31,91.93,100.0,0.43,82.0,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.04,98.96,100.0,0.97,74.5,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.03,98.96,100.0,0.94,76.0,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.08,97.92,100.0,0.69,79.0,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.1,97.66,100.0,0.61,81.5,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.03,98.83,100.0,1.3,66.5,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.05,97.92,100.0,1.21,71.0,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.05,98.44,100.0,1.03,75.5,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.06,98.83,99.87,0.93,77.0,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",2.08,12.11,66.93,2.08,10.5,66.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",2.08,13.15,64.71,2.08,14.0,64.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.48,82.55,100.0,0.51,76.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.47,83.72,99.74,0.52,76.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.05,98.57,100.0,0.94,78.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.06,98.18,100.0,0.86,75.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.15,97.4,100.0,0.52,80.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.17,95.57,99.87,0.59,76.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.02,99.35,100.0,1.43,70.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.61,100.0,1.35,70.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.06,98.57,100.0,0.75,77.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.05,98.96,100.0,0.81,78.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.06,98.31,100.0,1.25,67.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.03,99.22,100.0,1.45,68.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.04,98.96,99.87,1.14,74.5,100.0
