param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.17,94.79,100.0,0.46,81.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.19,94.14,100.0,0.53,79.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.06,98.7,100.0,0.64,79.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.08,97.79,100.0,0.67,81.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.0001}",0.06,98.57,100.0,0.75,78.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.001}",0.05,98.7,100.0,0.65,82.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.0001}",0.03,99.48,99.87,0.91,75.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.001}",0.04,99.09,100.0,0.98,73.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.0001}",0.02,99.74,100.0,1.12,68.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.001}",0.02,99.61,100.0,1.44,64.5,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.16,95.83,100.0,0.61,80.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.11,97.27,100.0,0.53,79.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.05,98.7,100.0,0.81,79.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.05,99.09,100.0,0.87,75.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.0001}",0.04,99.22,100.0,0.78,78.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.001}",0.03,99.22,100.0,0.92,77.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.0001}",0.01,99.74,100.0,1.45,65.5,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.001}",0.02,99.48,100.0,1.24,69.5,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.0001}",0.01,100.0,100.0,1.87,57.0,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.001}",0.01,100.0,100.0,1.99,56.0,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.07,97.92,100.0,0.7,76.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.09,97.79,100.0,0.61,83.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.03,99.35,100.0,0.8,76.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.02,99.74,100.0,0.86,79.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.0001}",0.02,99.48,100.0,0.91,77.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.001}",0.02,99.74,100.0,0.92,75.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 5, 'wd': 0.0001}",0.01,99.87,100.0,1.58,66.0,99.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 5, 'wd': 0.001}",0.01,99.87,100.0,2.09,52.0,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 10, 'wd': 0.0001}",0.01,100.0,100.0,2.42,47.0,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 10, 'wd': 0.001}",0.01,99.87,100.0,2.35,51.5,96.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.01,99.74,100.0,1.27,67.5,100.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.01,99.74,100.0,1.5,69.0,100.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.0,100.0,100.0,1.96,57.0,99.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.001}",1.54,34.64,93.88,1.65,28.0,95.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.0001}",1.79,27.21,87.24,1.83,23.5,82.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.001}",2.07,20.05,64.71,2.07,21.0,68.5
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.0001}",2.07,16.41,67.71,2.06,14.0,70.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.001}",1.98,17.84,77.34,2.0,16.5,74.5
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.0001}",1.97,19.79,78.52,2.03,17.0,74.5
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.001}",2.01,17.71,73.57,1.99,18.5,71.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.0,99.87,100.0,1.73,64.0,100.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.01,99.87,100.0,2.08,60.0,100.0
