param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.53,82.03,100.0,0.75,69.0,100.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.5,83.72,100.0,1.0,59.0,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.4,86.46,100.0,0.65,73.0,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.4,86.85,100.0,0.83,72.0,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.25,93.49,100.0,0.85,72.5,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.24,92.58,100.0,0.72,77.0,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.2,95.05,100.0,0.74,74.5,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.17,96.22,100.0,0.82,73.0,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.24,91.8,100.0,0.96,64.0,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.21,94.01,100.0,1.16,58.0,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.2,95.05,99.87,0.72,73.5,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.15,94.79,100.0,1.1,70.0,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.12,95.96,99.87,1.24,71.5,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.11,95.57,100.0,1.05,75.5,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.1,96.09,100.0,1.1,74.0,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.07,97.53,100.0,1.22,73.5,100.0
