param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",1.27,53.52,98.05,1.5,30.0,96.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",1.28,52.21,97.92,1.5,29.5,95.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",1.25,52.34,98.05,1.53,29.0,95.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",1.24,54.17,98.57,1.46,34.0,96.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",1.17,57.81,98.7,1.46,33.0,97.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",1.18,54.82,98.96,1.45,32.5,98.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",1.12,59.9,99.22,1.46,33.5,98.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",1.13,58.98,98.83,1.46,32.5,97.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",1.1,60.94,98.57,1.46,32.5,99.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",1.12,59.11,99.09,1.45,36.5,98.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.81,75.78,99.48,1.45,37.0,99.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.75,76.82,99.48,1.51,37.0,98.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.78,74.87,99.61,1.5,35.0,97.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.77,76.04,99.74,1.47,40.0,99.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.66,78.91,99.87,1.61,36.5,99.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.67,79.3,99.48,1.56,35.0,98.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.63,80.21,99.22,1.64,35.0,99.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.61,84.38,99.74,1.56,39.0,99.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.54,85.81,99.74,1.7,35.5,98.5
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.59,83.85,99.48,1.66,34.0,99.0
