param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.52,79.56,100.0,0.91,62.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.49,80.08,100.0,0.9,59.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.02,99.35,100.0,2.27,58.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.03,98.83,100.0,2.22,59.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.52,78.65,99.87,0.89,60.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.53,79.56,100.0,0.87,60.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.03,99.35,100.0,2.45,58.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.03,99.09,100.0,2.14,56.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.26,92.32,100.0,1.0,66.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.3,90.49,100.0,1.06,60.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.01,99.22,100.0,2.81,59.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,2.91,58.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.29,89.45,100.0,1.07,62.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.31,88.28,100.0,1.06,61.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.01,99.61,100.0,3.03,58.5,99.5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.01,99.61,100.0,2.79,60.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.09,97.66,100.0,1.69,59.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.06,98.7,100.0,1.85,61.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,2.47,60.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,2.71,61.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.06,98.05,100.0,1.61,61.5,100.0
