param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.27,91.41,100.0,1.27,57.5,100.0
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.29,90.36,100.0,1.2,61.0,100.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.02,99.22,100.0,2.02,60.5,100.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.04,98.83,100.0,1.88,58.5,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.07,98.05,100.0,1.84,60.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.07,98.31,100.0,1.6,62.5,100.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",1.61,29.82,94.92,1.65,25.0,93.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",0.73,67.84,100.0,1.15,54.0,100.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.06,98.18,100.0,1.98,59.5,100.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.03,99.35,100.0,1.88,62.5,100.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",1.55,29.3,97.27,1.6,28.5,94.5
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",1.26,43.49,99.87,1.28,37.5,99.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.02,99.74,100.0,1.96,60.0,100.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.02,99.74,100.0,2.05,58.0,100.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",1.62,28.12,94.14,1.59,36.0,93.5
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",1.32,39.97,97.79,1.38,39.0,96.0
