param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.86,61.46,100.0,0.9,58.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.87,63.93,100.0,0.89,58.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.13,95.7,100.0,1.55,61.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.14,94.66,100.0,1.47,62.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.62,73.96,100.0,0.83,63.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.59,76.17,99.87,0.87,62.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.07,98.31,100.0,2.3,57.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.05,98.96,100.0,2.11,61.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.15,94.79,100.0,1.45,59.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.17,95.05,100.0,1.54,63.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.05,98.83,100.0,2.23,54.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.05,98.18,100.0,2.28,58.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.05,98.96,100.0,1.73,64.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.08,97.53,100.0,1.72,59.5,99.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",1.73,23.18,91.02,1.74,22.0,89.5
