param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.64,73.96,100.0,0.91,60.0,100.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.62,74.09,100.0,0.96,58.5,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.44,82.16,100.0,1.18,54.0,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.51,79.82,100.0,1.07,55.5,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.18,94.79,100.0,1.69,56.0,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.21,93.23,100.0,1.48,57.0,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.2,93.75,100.0,1.64,57.5,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.15,95.7,100.0,1.7,62.0,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.28,89.84,99.87,1.33,59.0,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.27,90.23,100.0,1.64,54.5,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.16,94.01,100.0,1.72,58.5,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.18,94.14,100.0,1.96,55.0,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.12,95.57,100.0,2.36,54.5,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.07,97.92,100.0,2.44,59.5,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.04,98.83,100.0,2.6,56.5,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.07,98.05,100.0,2.47,54.5,100.0
