param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",1.11,54.95,99.87,1.2,41.0,100.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",1.21,52.47,99.48,1.33,39.0,98.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",1.03,58.33,99.74,1.11,48.5,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",1.05,56.51,99.87,1.12,47.5,99.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.93,61.33,100.0,1.05,50.5,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.88,65.49,99.61,0.97,56.5,99.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.91,63.15,99.87,1.06,49.5,99.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.85,64.19,99.87,1.0,51.5,99.5
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",0.82,66.67,99.87,0.96,53.0,99.5
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",0.87,66.28,100.0,1.03,51.5,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.85,67.32,99.87,1.25,42.5,99.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.81,69.27,100.0,1.27,48.5,99.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.77,72.66,99.74,1.22,44.5,99.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.75,72.92,99.87,1.15,45.0,99.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.62,78.26,99.74,1.15,53.0,99.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.61,77.6,99.74,1.02,50.5,99.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.56,80.6,99.87,1.13,52.0,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.51,82.81,100.0,1.11,50.0,100.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.47,84.64,99.87,1.27,48.0,100.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.45,84.64,100.0,1.02,56.5,100.0
