param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.4,86.46,100.0,0.98,72.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.38,88.15,100.0,1.04,72.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.04,98.83,100.0,2.05,72.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.03,99.09,100.0,2.08,73.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.39,86.72,100.0,1.06,72.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.38,86.85,100.0,1.11,68.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.02,99.35,100.0,2.51,72.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.01, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.02,99.74,100.0,2.32,72.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.17,95.05,100.0,1.37,68.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.22,93.36,100.0,1.41,68.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.01,99.61,100.0,2.35,75.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,2.31,74.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.18,94.53,100.0,1.36,70.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.24,93.1,100.0,1.38,69.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,2.5,71.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 0.1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.01,99.61,100.0,2.22,72.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.03,99.22,100.0,2.09,67.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.04,98.83,100.0,2.04,67.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,1.99,68.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.14,96.22,100.0,1.53,69.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.03,99.22,100.0,1.88,69.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.001}",0.03,99.35,100.0,1.84,71.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,2.3,69.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 1, 'convpass_xavier_init': False, 'lr': 0.01, 'wd': 0.001}",0.02,99.35,100.0,2.04,65.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.0001}",0.02,99.74,100.0,1.89,72.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': True, 'lr': 0.001, 'wd': 0.001}",0.01,99.87,100.0,1.82,71.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.0001}",0.53,85.03,100.0,1.35,66.5,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': True, 'lr': 0.01, 'wd': 0.001}",0.9,72.92,100.0,0.87,73.0,100.0
"{'convpass_bottleneck': 8, 'convpass_scaler': 10, 'convpass_xavier_init': False, 'lr': 0.001, 'wd': 0.0001}",0.01,99.87,100.0,1.74,71.5,100.0
