param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.18,94.01,100.0,1.34,68.5,100.0
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.23,93.23,100.0,1.37,67.0,100.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,1.98,72.5,100.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,1.96,74.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.03,99.22,100.0,1.94,66.5,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.04,98.96,100.0,1.8,73.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",0.89,72.79,100.0,0.87,73.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",0.76,74.74,100.0,1.03,73.0,100.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.02,99.61,100.0,1.79,72.5,100.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.03,99.35,100.0,1.95,65.5,100.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",0.89,73.18,100.0,0.87,73.0,100.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",0.91,72.27,100.0,0.87,73.0,100.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.01,99.87,100.0,1.92,71.5,100.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.01,99.74,100.0,1.95,70.5,100.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",0.88,73.57,100.0,0.88,73.0,100.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",0.9,72.92,100.0,0.87,73.0,100.0
