param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.13,95.83,100.0,1.58,67.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.23,92.32,100.0,1.26,68.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.03,99.22,100.0,2.08,61.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.05,98.57,100.0,1.89,65.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.0001}",0.02,99.61,100.0,1.68,69.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.001}",0.02,99.35,100.0,1.76,67.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.0001}",0.01,99.87,100.0,1.69,72.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.001}",0.01,99.87,100.0,1.85,71.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.0001}",0.76,75.26,100.0,0.97,71.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.001}",0.35,89.58,100.0,1.31,65.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.08,97.4,100.0,1.79,66.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.11,97.66,100.0,1.53,69.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.02,99.48,100.0,1.85,67.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.01,99.74,100.0,1.73,72.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.0001}",0.01,99.87,100.0,1.67,75.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.001}",0.01,99.48,100.0,1.63,74.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.0001}",0.01,99.61,100.0,1.84,71.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.001}",0.01,99.74,100.0,2.17,68.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.0001}",0.82,73.18,100.0,0.9,73.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.001}",0.71,76.69,100.0,1.03,71.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.05,98.7,100.0,1.71,69.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.04,98.57,100.0,1.79,69.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.01,99.87,100.0,1.74,72.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.01,99.87,100.0,1.77,68.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.0001}",0.01,99.87,100.0,2.13,66.5,100.0
