param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.37,87.63,100.0,1.37,64.0,100.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.4,87.37,100.0,1.03,65.5,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.3,90.89,100.0,1.14,69.0,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.34,91.28,100.0,1.2,68.0,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.21,94.27,100.0,1.42,63.0,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.22,94.66,100.0,1.51,61.5,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.21,94.53,100.0,1.38,67.0,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.14,97.27,100.0,1.71,59.0,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.12,96.09,100.0,1.69,67.5,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.44,84.77,100.0,1.04,70.0,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.1,96.74,100.0,1.46,68.0,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.1,97.4,100.0,1.85,64.0,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.1,97.53,100.0,2.27,63.0,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.12,97.01,100.0,2.0,68.0,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.14,97.14,100.0,2.03,62.0,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.72,75.78,100.0,0.76,73.0,100.0
