param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.75,74.22,100.0,0.78,73.0,100.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.76,74.09,100.0,0.78,73.0,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.74,75.13,100.0,0.79,73.5,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.74,74.87,100.0,0.79,73.0,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.7,76.17,100.0,0.79,73.5,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.72,75.13,100.0,0.79,74.0,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.71,74.87,100.0,0.78,74.0,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.68,77.21,100.0,0.81,73.0,100.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",0.68,76.17,100.0,0.79,74.5,100.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",0.7,75.78,100.0,0.79,74.5,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.58,78.65,100.0,0.79,75.5,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.56,79.17,100.0,0.79,72.0,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.56,79.04,100.0,0.8,74.5,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.55,77.21,100.0,0.81,75.0,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.46,83.98,100.0,0.89,72.0,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.47,83.72,100.0,0.86,73.0,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.41,85.29,100.0,0.95,73.0,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.39,87.37,100.0,0.9,71.0,100.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.34,87.89,100.0,1.07,68.5,100.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.37,88.02,100.0,1.03,72.0,100.0
