param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.18,94.53,100.0,2.18,44.5,98.5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.21,94.01,100.0,1.96,43.0,99.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.03,99.09,100.0,3.0,47.0,98.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.03,99.35,100.0,2.68,49.5,99.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.04,99.09,100.0,2.61,52.5,99.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.04,98.83,99.87,2.9,47.0,99.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",0.95,57.29,99.74,2.66,26.5,90.5
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",1.36,42.32,97.01,1.67,29.5,94.5
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.04,99.09,100.0,2.96,46.5,99.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.02,99.61,100.0,2.8,53.0,98.5
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",1.54,34.9,94.53,1.67,24.0,92.5
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",1.74,24.09,89.71,1.8,18.5,84.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.01,99.74,100.0,2.77,51.5,98.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.01,99.87,100.0,3.01,46.5,99.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",1.63,32.03,92.71,1.78,19.5,90.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",1.71,26.69,90.49,1.76,21.5,87.0
