param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.15,96.22,100.0,2.32,45.5,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.16,96.09,100.0,2.12,45.0,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.06,98.44,99.87,2.69,45.5,99.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.07,97.92,100.0,2.73,47.5,99.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.0001}",0.02,99.61,100.0,2.91,44.0,98.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.001}",0.04,98.44,99.87,2.95,45.0,99.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.0001}",0.02,99.61,100.0,3.08,48.5,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.001}",0.01,99.61,100.0,2.94,45.0,99.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.0001}",0.01,99.87,100.0,2.98,44.5,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.001}",0.01,99.61,100.0,3.05,45.5,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.09,97.14,100.0,2.35,49.0,99.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.08,97.27,100.0,2.3,50.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.02,99.61,100.0,2.9,48.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.03,99.48,100.0,2.78,46.0,99.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.0001}",0.02,99.61,100.0,2.74,49.5,99.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.001}",0.02,99.61,100.0,2.75,53.0,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.0001}",0.02,99.48,100.0,3.09,45.0,98.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.001}",0.01,99.74,100.0,2.65,52.0,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.0001}",0.01,100.0,100.0,3.23,43.0,97.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.001}",0.01,99.87,100.0,3.15,42.5,97.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.06,98.18,100.0,2.51,47.5,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.04,98.83,100.0,2.66,46.0,98.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.02,99.61,100.0,3.01,49.5,99.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.01,99.74,100.0,3.07,48.0,98.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.0001}",0.01,99.74,100.0,3.05,48.0,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.001}",0.01,99.74,100.0,3.1,45.5,98.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 5, 'wd': 0.0001}",0.0,100.0,100.0,3.2,44.5,96.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 5, 'wd': 0.001}",0.01,99.74,100.0,3.15,46.0,97.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 10, 'wd': 0.0001}",1.75,23.83,89.84,1.81,17.0,85.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 10, 'wd': 0.001}",0.02,99.74,100.0,3.41,35.5,96.5
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.01,99.74,100.0,3.56,46.5,100.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.01,99.87,100.0,3.33,50.5,99.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.0001}",1.29,44.01,98.44,1.85,24.5,92.5
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.001}",1.45,39.45,96.35,1.79,22.5,90.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.0001}",1.5,37.11,95.83,1.73,24.5,89.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.001}",1.54,36.85,94.01,1.77,24.0,88.5
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.0001}",1.76,22.66,88.8,1.81,15.5,84.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.001}",1.68,29.17,91.02,1.75,25.0,89.0
