param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.48,83.85,99.87,1.62,47.0,99.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.46,84.64,99.74,1.76,51.0,99.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.38,87.89,99.87,1.87,48.0,98.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.31,89.84,100.0,2.17,44.5,99.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.14,96.35,100.0,2.49,46.5,98.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.13,96.61,100.0,2.39,50.0,97.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.11,97.01,100.0,2.52,47.0,98.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.1,97.79,99.87,2.77,47.0,99.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.18,94.79,99.87,2.18,45.0,99.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.13,95.83,100.0,2.09,49.5,99.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.1,96.48,100.0,2.87,43.0,98.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.11,96.61,100.0,2.61,47.5,98.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.07,97.27,100.0,3.38,46.5,99.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.05,98.18,100.0,2.82,50.5,99.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.07,97.66,100.0,3.35,45.0,98.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.09,96.88,100.0,3.6,48.0,98.0
