param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",1.12,60.16,98.96,1.56,34.5,96.5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",1.09,60.81,98.83,1.55,30.5,96.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",1.09,62.24,98.83,1.6,31.5,95.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",1.1,61.72,99.09,1.55,35.0,96.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.97,66.8,99.87,1.56,37.5,95.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",1.0,66.54,99.35,1.58,38.0,95.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.93,69.66,98.96,1.61,35.5,94.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.93,69.01,99.48,1.62,40.0,94.5
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",0.89,71.35,99.22,1.58,34.5,96.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",0.91,70.31,99.48,1.58,36.0,95.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.65,80.21,99.61,1.86,36.5,94.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.65,80.34,99.87,1.86,41.0,94.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.62,80.47,99.74,1.89,37.5,97.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.67,78.12,99.48,1.86,37.5,97.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.54,82.42,99.61,1.9,38.5,96.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.52,84.64,100.0,1.96,40.0,96.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.45,87.37,99.74,2.03,40.0,98.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.46,87.24,99.87,2.06,36.5,96.5
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.44,85.03,99.74,2.01,35.0,96.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.5,84.64,99.61,2.07,41.5,96.5
