param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.22,95.05,99.87,0.36,85.0,100.0
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.24,93.49,100.0,0.46,82.0,100.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.02,99.22,100.0,0.66,84.0,100.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.03,99.22,100.0,0.61,83.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.03,99.61,100.0,0.49,85.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.06,98.18,99.87,0.6,81.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",2.24,20.18,71.22,2.24,14.5,69.5
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",1.17,51.82,98.44,1.17,52.5,99.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.04,99.35,100.0,0.57,85.5,100.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.02,99.87,100.0,0.45,87.0,100.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",2.73,10.29,41.15,2.83,6.5,25.5
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",2.72,12.24,43.62,2.79,5.5,32.5
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.03,99.61,100.0,0.33,90.5,100.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.03,99.48,100.0,0.64,82.0,100.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",2.76,8.85,37.24,2.79,4.5,28.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",2.72,10.81,42.58,2.76,6.5,34.5
