param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.98,64.45,99.22,0.9,58.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",1.0,65.23,98.44,0.83,67.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.16,94.92,99.87,0.55,81.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.16,94.92,100.0,0.56,83.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.51,84.64,99.87,0.5,82.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.56,80.73,99.74,0.5,80.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.06,98.31,100.0,0.68,78.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.05,98.57,100.0,0.67,82.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.19,95.31,99.87,0.36,85.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.2,94.53,100.0,0.41,88.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.06,98.31,100.0,0.57,86.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.11,97.79,100.0,0.9,73.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.1,97.66,100.0,0.51,83.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.11,97.4,100.0,0.6,82.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",2.76,7.94,36.2,2.79,3.5,26.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",2.75,8.72,40.62,2.81,3.0,26.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.79,72.4,99.48,0.74,67.5,100.0
