param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.57,81.12,100.0,0.55,80.0,100.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.63,77.99,99.74,0.65,73.0,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.43,86.07,99.87,0.42,84.5,100.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.48,84.51,99.87,0.52,81.0,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.24,94.27,100.0,0.3,89.0,100.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.22,93.62,100.0,0.39,87.0,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.18,95.31,100.0,0.45,84.0,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.16,96.22,100.0,0.53,81.5,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.29,90.62,100.0,0.5,81.0,100.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.28,90.1,99.87,0.67,76.5,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.17,94.79,99.87,0.59,84.5,100.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.16,95.31,100.0,0.39,85.5,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.22,93.1,99.87,0.47,84.0,100.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.14,95.57,100.0,0.68,78.0,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.05,98.31,100.0,0.39,89.5,100.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.12,97.4,100.0,0.61,83.5,100.0
