param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",1.65,44.66,91.41,1.71,29.0,94.5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",1.66,41.67,92.71,1.71,30.5,93.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",1.57,47.66,94.4,1.61,38.0,96.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",1.49,47.66,97.01,1.59,34.0,96.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",1.24,59.11,98.05,1.35,42.0,98.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",1.14,61.07,98.96,1.27,45.0,100.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",1.14,63.8,98.31,1.4,35.5,97.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",1.08,62.76,99.22,1.29,39.5,99.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",1.02,67.32,99.09,1.26,42.0,99.5
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",1.11,62.24,98.83,1.21,47.0,99.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.97,69.53,97.4,1.54,39.0,93.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.99,70.05,98.05,1.49,42.0,97.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.91,72.79,97.79,1.35,45.5,99.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.91,71.09,97.92,1.4,42.0,98.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.61,82.03,99.35,1.24,51.5,99.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.64,80.47,99.48,1.47,37.5,98.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.51,85.03,99.35,1.25,50.5,99.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.53,85.16,99.35,1.11,55.0,100.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.46,86.98,99.48,1.22,54.0,100.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.5,86.07,98.57,1.13,54.0,99.5
