param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.48,85.55,99.61,1.22,52.5,97.0
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.54,83.85,99.35,1.15,55.0,96.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.06,98.57,100.0,1.91,53.5,96.5
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.06,98.44,100.0,2.06,51.5,95.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.1,97.92,99.87,2.1,47.5,96.5
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.14,97.01,99.74,1.81,55.0,97.5
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",2.55,17.84,55.34,2.79,7.5,39.5
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",2.76,8.46,37.11,2.75,4.0,33.5
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.07,98.18,100.0,2.13,52.5,97.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.04,99.35,100.0,2.02,54.5,94.5
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",2.74,8.07,38.8,2.76,6.0,40.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",2.75,8.33,38.8,2.75,4.0,40.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.02,99.74,100.0,2.27,52.0,95.5
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.04,99.22,100.0,2.43,51.0,93.5
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",2.54,18.1,54.82,2.88,8.0,42.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",2.74,9.64,41.28,2.76,7.0,36.0
