param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",1.13,59.51,97.66,1.32,47.5,97.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.96,64.45,97.92,1.24,49.5,97.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.73,73.31,98.96,1.19,51.5,98.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.78,72.92,98.96,1.25,51.5,97.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.48,85.16,99.61,1.28,54.5,98.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.44,86.98,99.22,1.31,53.0,97.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.45,85.94,99.48,1.38,57.0,98.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.43,88.15,99.74,1.37,54.5,96.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.34,91.8,99.22,1.66,51.5,95.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.35,90.62,99.35,1.6,52.5,97.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.28,91.41,99.35,1.48,55.0,97.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.27,91.67,99.48,1.53,51.5,98.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.14,95.44,99.87,2.15,44.5,95.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.09,97.14,99.87,2.11,51.0,97.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.15,95.57,99.74,2.22,47.0,97.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.27,90.89,99.74,3.08,41.0,86.5
