param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",1.91,38.28,84.38,2.04,28.5,82.0
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",1.91,40.23,84.64,2.04,27.5,82.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",1.85,40.49,86.46,1.97,31.0,83.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",1.8,44.14,86.72,1.95,29.0,80.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",1.65,48.18,89.58,1.85,32.0,86.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",1.6,50.91,91.41,1.82,40.5,85.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",1.62,51.3,89.97,1.81,32.5,87.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",1.58,51.69,90.89,1.79,35.0,84.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",1.51,53.39,92.84,1.79,37.0,87.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",1.54,53.26,91.67,1.88,33.5,88.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",1.2,64.19,92.97,1.69,38.0,92.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",1.12,64.58,95.18,1.62,39.0,90.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",1.05,66.8,94.92,1.74,38.5,92.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",1.1,65.36,94.66,1.56,44.5,91.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.9,71.48,96.22,1.59,43.5,92.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.87,73.83,96.22,1.49,43.0,95.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.77,76.43,98.31,1.67,38.5,95.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.74,78.39,97.53,1.62,41.5,94.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.74,78.78,97.01,1.69,40.0,93.0
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.62,82.68,97.79,2.12,35.0,88.5
