param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.0001}",0.19,98.18,99.87,1.22,63.5,91.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.001}",0.17,98.18,100.0,1.27,64.0,91.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,1.71,65.5,89.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,1.79,63.5,90.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.15,99.09,100.0,1.23,66.0,92.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.15,98.83,99.87,1.27,66.0,91.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,1.8,62.5,88.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,1.91,62.5,91.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.1,99.09,99.87,1.39,64.0,89.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.001}",0.12,98.83,99.87,1.3,63.5,91.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,1.92,60.5,89.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,1.85,63.0,88.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.0001}",0.09,98.7,99.74,1.38,65.0,91.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.001}",0.09,99.35,99.87,1.4,61.5,92.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,1.85,65.5,88.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.001}",0.02,99.61,99.87,1.86,63.0,91.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.06,99.48,100.0,1.49,64.0,91.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.06,99.35,99.87,1.5,63.5,89.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,2.01,62.5,90.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,2.1,60.0,88.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.03,99.61,100.0,1.58,64.5,91.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.001}",0.04,99.61,100.0,1.55,64.0,90.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,2.0,64.5,90.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,2.0,62.5,91.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.0001}",0.04,99.87,100.0,1.42,64.0,89.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.05, 'lr': 0.001, 'wd': 0.001}",0.06,99.48,99.87,1.52,63.5,89.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.0001}",0.01,99.61,99.87,1.98,65.5,91.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.05, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,2.15,63.0,88.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.03,100.0,100.0,1.61,63.0,89.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.04,99.74,100.0,1.53,66.5,91.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,2.36,62.5,86.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,1.87,66.5,92.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.0001}",0.02,99.87,100.0,1.71,61.0,89.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.2, 'lr': 0.001, 'wd': 0.001}",0.02,99.87,100.0,1.65,62.5,89.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,2.17,62.0,88.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.2, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,2.29,60.0,88.5
