param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.12,98.7,99.87,1.31,66.0,91.5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.12,99.09,100.0,1.31,65.0,92.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,100.0,100.0,1.64,64.5,89.5
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,1.64,65.0,89.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.03,100.0,100.0,1.62,63.0,90.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.03,99.74,100.0,1.61,63.0,89.5
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",3.51,11.72,30.34,3.83,2.0,20.5
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",3.56,7.03,27.99,3.79,3.5,16.5
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.02,99.74,100.0,1.69,64.0,90.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.03,99.61,99.87,1.63,65.0,89.5
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",3.59,8.2,25.91,3.76,5.5,19.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",3.68,5.86,22.92,3.79,4.5,16.5
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.02,99.87,100.0,1.81,63.0,91.5
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.02,99.87,100.0,1.73,63.5,87.5
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",3.74,4.69,20.57,3.84,3.5,15.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",3.62,9.64,27.6,3.74,4.0,19.0
