param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.19,97.66,100.0,1.55,60.0,87.5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.18,97.79,100.0,1.48,60.5,87.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.13,99.09,100.0,1.56,62.5,87.5
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.14,98.44,100.0,1.58,63.5,87.5
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.08,99.35,100.0,1.92,61.5,86.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.08,99.61,100.0,1.88,62.5,87.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.06,99.61,100.0,1.98,59.5,86.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.07,99.35,99.87,2.07,58.5,87.0
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.03,99.61,99.87,1.62,64.5,92.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.02,99.74,100.0,1.7,64.0,90.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.03,99.22,100.0,1.75,63.0,89.5
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.02,99.74,99.87,1.77,67.0,87.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.01,99.87,100.0,1.92,62.5,89.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.01,99.87,100.0,1.92,63.0,89.0
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.01,100.0,100.0,1.84,67.5,88.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.01,100.0,100.0,2.03,65.0,89.5
