param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.0001}",0.51,94.27,99.61,1.52,60.5,87.5
"{'lr': 0.001, 'vpt_num': 5, 'wd': 0.001}",0.5,94.53,99.74,1.49,61.0,88.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.0001}",0.47,96.88,100.0,1.51,61.5,87.0
"{'lr': 0.001, 'vpt_num': 10, 'wd': 0.001}",0.49,94.53,99.87,1.51,61.5,88.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.0001}",0.43,96.22,99.74,1.48,62.0,88.0
"{'lr': 0.001, 'vpt_num': 50, 'wd': 0.001}",0.46,95.57,99.48,1.49,61.0,86.0
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.0001}",0.43,96.35,100.0,1.49,62.0,87.5
"{'lr': 0.001, 'vpt_num': 100, 'wd': 0.001}",0.43,97.4,99.87,1.47,62.5,87.5
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.0001}",0.42,96.61,99.87,1.51,61.5,88.0
"{'lr': 0.001, 'vpt_num': 200, 'wd': 0.001}",0.44,95.7,99.61,1.47,63.0,88.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.0001}",0.05,99.48,100.0,1.63,59.5,86.5
"{'lr': 0.01, 'vpt_num': 5, 'wd': 0.001}",0.05,98.96,100.0,1.66,58.0,85.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.0001}",0.07,98.83,99.74,1.62,60.5,88.0
"{'lr': 0.01, 'vpt_num': 10, 'wd': 0.001}",0.05,99.48,100.0,1.64,60.5,86.5
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.0001}",0.05,99.48,99.87,1.67,61.5,87.0
"{'lr': 0.01, 'vpt_num': 50, 'wd': 0.001}",0.04,99.22,100.0,1.64,62.5,86.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.0001}",0.04,99.61,100.0,1.61,62.0,86.5
"{'lr': 0.01, 'vpt_num': 100, 'wd': 0.001}",0.03,99.87,100.0,1.57,61.5,86.5
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.0001}",0.04,99.61,100.0,1.61,61.5,86.5
"{'lr': 0.01, 'vpt_num': 200, 'wd': 0.001}",0.04,99.35,100.0,1.62,60.5,87.5
