param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.06,98.7,100.0,0.21,95.0,100.0
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.04,99.35,100.0,0.17,94.5,100.0
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.14,96.0,100.0
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.0,99.87,100.0,0.17,96.0,100.0
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.03,99.48,100.0,0.17,94.0,99.5
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.02,99.61,100.0,0.2,94.0,100.0
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.18,96.0,100.0
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,0.16,95.5,100.0
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.02,99.74,100.0,0.22,94.5,100.0
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.01,99.87,100.0,0.16,96.0,99.5
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.18,95.0,100.0
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.14,95.5,100.0
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.01,99.74,100.0,0.2,94.5,99.5
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.02,99.35,100.0,0.14,95.0,99.5
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.0,99.87,100.0,0.14,96.5,100.0
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.001}",0.0,99.87,100.0,0.17,96.0,100.0
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.0001}",0.01,100.0,100.0,0.14,96.0,100.0
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.001}",0.01,99.87,100.0,0.11,96.5,99.5
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.0001}",2.28,14.71,57.55,2.34,11.0,52.0
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.001}",2.28,14.19,57.29,2.32,9.0,51.5
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.02,100.0,100.0,0.18,93.5,100.0
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.03,99.61,100.0,0.17,96.0,100.0
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.15,96.5,100.0
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.16,95.5,100.0
"{'fact_dim': 32, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.02,99.74,100.0,0.12,97.0,100.0
"{'fact_dim': 32, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.02,99.74,100.0,0.21,94.0,100.0
"{'fact_dim': 32, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.0,99.87,100.0,0.14,97.0,100.0
"{'fact_dim': 32, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.11,97.0,100.0
"{'fact_dim': 32, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.01,99.61,100.0,0.19,94.0,99.5
"{'fact_dim': 32, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.01,100.0,100.0,0.15,94.5,100.0
"{'fact_dim': 32, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.0,99.87,100.0,0.16,96.5,100.0
"{'fact_dim': 32, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.13,96.0,100.0
"{'fact_dim': 32, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.01,99.87,100.0,0.13,97.0,99.5
"{'fact_dim': 32, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.0,100.0,100.0,0.15,96.5,100.0
"{'fact_dim': 32, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",2.28,14.45,53.91,2.3,15.0,63.0
"{'fact_dim': 32, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.001}",2.2,16.93,66.67,2.21,16.5,58.5
"{'fact_dim': 32, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.0001}",0.01,99.87,100.0,0.19,94.5,100.0
"{'fact_dim': 32, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.001}",0.01,99.74,100.0,0.2,95.0,100.0
"{'fact_dim': 32, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.0001}",2.28,12.37,57.55,2.32,10.0,56.5
"{'fact_dim': 32, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.001}",2.26,17.45,59.51,2.3,15.0,59.0
"{'fact_dim': 64, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.02,99.61,100.0,0.18,94.0,100.0
"{'fact_dim': 64, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.02,99.61,100.0,0.2,95.0,99.5
"{'fact_dim': 64, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.0,99.87,100.0,0.16,96.0,100.0
"{'fact_dim': 64, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.11,97.0,100.0
"{'fact_dim': 64, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.02,99.74,100.0,0.2,95.0,99.5
"{'fact_dim': 64, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.01,100.0,100.0,0.14,96.5,99.5
"{'fact_dim': 64, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.13,95.5,100.0
"{'fact_dim': 64, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.08,97.5,100.0
