param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.14,97.01,100.0,0.24,92.0,100.0
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.15,96.48,100.0,0.21,91.5,100.0
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.1,97.0,100.0
"{'fact_dim': 8, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.15,96.5,100.0
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.06,99.22,100.0,0.2,95.0,100.0
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.07,97.79,100.0,0.21,94.0,100.0
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,0.14,97.0,100.0
"{'fact_dim': 8, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.11,97.5,100.0
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.03,99.35,100.0,0.17,95.0,100.0
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.03,99.48,100.0,0.15,95.0,99.5
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.13,96.5,100.0
"{'fact_dim': 8, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.19,96.0,100.0
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.01,99.74,100.0,0.13,95.5,100.0
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.02,99.61,100.0,0.17,96.0,99.5
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",2.28,11.85,56.9,2.31,10.0,57.0
"{'fact_dim': 8, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.001}",2.28,12.63,57.03,2.32,10.0,57.0
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.0001}",0.0,100.0,100.0,0.13,96.5,99.5
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.001}",0.01,99.87,100.0,0.16,97.0,99.5
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.0001}",2.28,12.37,57.03,2.31,10.0,57.0
"{'fact_dim': 8, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.001}",2.29,12.11,54.56,2.32,10.0,57.0
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.07,98.57,100.0,0.18,94.0,100.0
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.07,98.57,100.0,0.19,93.0,100.0
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,0.14,96.0,100.0
"{'fact_dim': 16, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.15,95.5,100.0
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.03,99.48,100.0,0.23,94.0,100.0
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.03,99.35,100.0,0.19,93.0,100.0
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.0,99.87,100.0,0.16,96.0,100.0
"{'fact_dim': 16, 'fact_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.13,96.0,100.0
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.02,99.74,100.0,0.17,95.5,100.0
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.02,99.74,100.0,0.17,96.0,99.5
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.13,96.0,100.0
"{'fact_dim': 16, 'fact_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.17,96.0,100.0
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.01,99.87,100.0,0.12,97.0,99.5
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.0,100.0,100.0,0.24,94.0,100.0
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",2.28,11.98,57.03,2.32,10.0,57.0
"{'fact_dim': 16, 'fact_scaler': 10, 'lr': 0.01, 'wd': 0.001}",2.28,12.76,56.38,2.32,10.0,57.0
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.0001}",0.0,99.87,100.0,0.19,95.5,100.0
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.001, 'wd': 0.001}",0.01,99.87,100.0,0.23,94.5,99.5
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.0001}",2.28,13.15,57.68,2.32,10.0,46.0
"{'fact_dim': 16, 'fact_scaler': 100, 'lr': 0.01, 'wd': 0.001}",2.28,10.29,56.51,2.32,10.0,57.0
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.03,99.48,100.0,0.19,94.5,100.0
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.04,99.09,100.0,0.18,94.5,99.5
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.15,97.5,100.0
"{'fact_dim': 32, 'fact_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,99.61,100.0,0.11,95.5,100.0
