param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.0001}",0.02,99.48,100.0,0.2,94.0,99.5
"{'lora_bottleneck': 1, 'lr': 0.001, 'wd': 0.001}",0.03,99.48,100.0,0.18,93.5,99.5
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.0001}",0.0,99.87,100.0,0.16,97.0,100.0
"{'lora_bottleneck': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.74,100.0,0.11,97.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.0001}",0.01,99.87,100.0,0.16,95.0,100.0
"{'lora_bottleneck': 8, 'lr': 0.001, 'wd': 0.001}",0.01,99.74,100.0,0.26,94.5,100.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.0001}",1.94,29.43,81.38,1.98,24.5,83.0
"{'lora_bottleneck': 8, 'lr': 0.01, 'wd': 0.001}",2.05,26.82,74.61,2.11,23.5,70.0
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.0001}",0.01,99.74,100.0,0.18,96.5,99.5
"{'lora_bottleneck': 16, 'lr': 0.001, 'wd': 0.001}",0.0,100.0,100.0,0.15,96.0,100.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.0001}",1.01,60.29,97.79,1.36,50.0,94.0
"{'lora_bottleneck': 16, 'lr': 0.01, 'wd': 0.001}",1.99,25.91,78.12,1.98,23.5,75.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.0001}",0.01,99.87,100.0,0.13,97.0,100.0
"{'lora_bottleneck': 32, 'lr': 0.001, 'wd': 0.001}",0.0,100.0,100.0,0.17,96.0,99.5
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.0001}",1.75,37.63,87.76,1.8,28.5,84.0
"{'lora_bottleneck': 32, 'lr': 0.01, 'wd': 0.001}",1.37,48.18,94.01,1.5,41.5,92.5
