param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.17,96.22,100.0,0.24,92.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.16,97.01,100.0,0.21,93.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.02,99.48,100.0,0.21,94.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.16,94.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.06,99.09,99.74,0.17,94.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.07,98.18,99.87,0.19,92.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.2,94.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,0.21,95.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.02,99.48,100.0,0.11,96.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.03,98.96,100.0,0.19,95.0,99.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,0.2,95.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.17,95.0,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.02,99.74,100.0,0.15,95.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.01,99.87,100.0,0.21,95.0,99.5
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.02,99.48,100.0,0.25,95.5,100.0
"{'adapter_bottleneck': 4, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",0.02,99.22,100.0,0.24,93.5,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.13,97.27,100.0,0.2,93.5,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.13,97.14,100.0,0.19,93.5,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,0.17,95.0,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.01,100.0,100.0,0.18,96.0,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.04,99.09,100.0,0.17,95.0,99.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.05,98.96,100.0,0.16,95.5,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.74,100.0,0.13,95.5,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.19,97.0,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.02,99.48,100.0,0.19,96.0,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.02,99.87,100.0,0.18,96.0,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.2,95.5,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.61,100.0,0.14,96.5,99.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.01,99.74,100.0,0.16,97.0,99.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.01,99.74,100.0,0.25,95.5,99.5
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.03,99.35,100.0,0.25,93.5,100.0
"{'adapter_bottleneck': 8, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",0.02,99.74,100.0,0.22,93.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.12,97.4,100.0,0.22,93.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.1,97.66,100.0,0.2,94.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.01,99.61,100.0,0.17,95.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.02,99.61,100.0,0.19,95.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.03,99.35,100.0,0.17,95.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.03,99.48,100.0,0.17,95.5,99.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.48,99.87,0.25,96.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.0,99.74,100.0,0.19,95.0,99.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.01,99.74,99.87,0.22,96.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.02,99.74,100.0,0.25,94.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.0,100.0,100.0,0.17,95.5,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.02,99.74,100.0,0.2,96.0,100.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.01,99.74,100.0,0.16,96.5,99.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.01,99.74,100.0,0.2,95.5,99.5
"{'adapter_bottleneck': 16, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.88,67.19,99.35,1.06,59.0,98.0
"{'adapter_bottleneck': 16, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",0.37,87.24,100.0,0.53,84.0,99.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.07,98.31,100.0,0.21,93.5,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.07,98.44,100.0,0.17,94.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.0,99.87,100.0,0.16,96.5,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.16,95.5,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.03,99.22,100.0,0.21,95.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.03,99.48,100.0,0.17,95.5,99.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.0,99.87,100.0,0.16,96.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.0,100.0,100.0,0.21,94.5,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.01,99.87,100.0,0.17,96.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.01,99.74,100.0,0.15,97.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.0,99.87,100.0,0.19,95.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.61,100.0,0.16,97.0,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.01,99.74,100.0,0.09,98.5,100.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.0,100.0,100.0,0.16,96.0,99.5
"{'adapter_bottleneck': 32, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.51,80.99,99.61,0.86,73.0,98.0
"{'adapter_bottleneck': 32, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",0.14,95.57,100.0,0.84,80.0,98.5
"{'adapter_bottleneck': 64, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.0001}",0.04,99.35,100.0,0.18,94.5,99.5
"{'adapter_bottleneck': 64, 'adapter_scaler': 0.01, 'lr': 0.001, 'wd': 0.001}",0.05,98.57,100.0,0.23,94.0,99.5
"{'adapter_bottleneck': 64, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.0001}",0.0,99.87,100.0,0.25,94.5,100.0
"{'adapter_bottleneck': 64, 'adapter_scaler': 0.01, 'lr': 0.01, 'wd': 0.001}",0.0,99.87,100.0,0.19,96.0,100.0
"{'adapter_bottleneck': 64, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.0001}",0.01,100.0,100.0,0.16,95.5,100.0
"{'adapter_bottleneck': 64, 'adapter_scaler': 0.1, 'lr': 0.001, 'wd': 0.001}",0.01,99.87,100.0,0.17,96.0,100.0
"{'adapter_bottleneck': 64, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.0001}",0.01,99.87,100.0,0.1,98.0,100.0
"{'adapter_bottleneck': 64, 'adapter_scaler': 0.1, 'lr': 0.01, 'wd': 0.001}",0.0,99.87,100.0,0.14,97.5,100.0
"{'adapter_bottleneck': 64, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.0001}",0.01,99.87,100.0,0.11,97.0,100.0
"{'adapter_bottleneck': 64, 'adapter_scaler': 1, 'lr': 0.001, 'wd': 0.001}",0.02,99.74,100.0,0.17,96.5,99.5
"{'adapter_bottleneck': 64, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.0001}",0.02,99.35,99.87,0.28,94.0,100.0
"{'adapter_bottleneck': 64, 'adapter_scaler': 1, 'lr': 0.01, 'wd': 0.001}",0.01,99.87,100.0,0.31,93.5,100.0
"{'adapter_bottleneck': 64, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.0001}",0.0,100.0,100.0,0.25,96.0,100.0
"{'adapter_bottleneck': 64, 'adapter_scaler': 10, 'lr': 0.001, 'wd': 0.001}",0.01,99.74,100.0,0.15,96.5,100.0
"{'adapter_bottleneck': 64, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.0001}",0.4,85.42,100.0,0.88,74.0,98.5
"{'adapter_bottleneck': 64, 'adapter_scaler': 10, 'lr': 0.01, 'wd': 0.001}",0.07,98.31,100.0,0.79,78.5,99.5
