param_set,train_loss,train_top1,train_top5,val_loss,val_top1,val_top5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.01,100.0,100.0,0.17,94.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.03,99.74,100.0,0.17,94.5,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.01,99.74,100.0,0.14,96.0,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.01,99.74,100.0,0.16,96.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.0001}",0.0,100.0,100.0,0.17,97.0,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.001}",0.01,99.74,100.0,0.17,95.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.0001}",0.01,99.87,100.0,0.14,97.0,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.001}",0.0,100.0,100.0,0.22,94.0,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.0001}",0.01,99.74,100.0,0.1,98.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.001}",0.0,100.0,100.0,0.18,95.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.02,99.61,100.0,0.17,95.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.01,100.0,100.0,0.2,93.5,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.02,99.74,100.0,0.2,94.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.0,100.0,100.0,0.2,95.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.0001}",0.01,99.74,100.0,0.17,94.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.001}",0.01,100.0,100.0,0.17,96.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.0001}",0.0,100.0,100.0,0.16,96.0,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.001}",0.0,100.0,100.0,0.16,95.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.0001}",0.01,99.87,100.0,0.25,93.5,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.001}",0.0,100.0,100.0,0.17,95.0,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.02,99.61,100.0,0.14,96.0,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.01,100.0,100.0,0.16,94.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.01,99.87,100.0,0.12,96.5,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.0,99.87,100.0,0.14,96.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.0001}",0.0,100.0,100.0,0.12,96.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.001}",0.0,100.0,100.0,0.09,97.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 5, 'wd': 0.0001}",0.0,100.0,100.0,0.14,95.0,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 5, 'wd': 0.001}",0.0,100.0,100.0,0.18,95.5,100.0
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 10, 'wd': 0.0001}",0.0,99.87,100.0,0.3,92.5,99.5
"{'lr': 0.001, 'repadapter_bottleneck': 32, 'repadapter_scaler': 10, 'wd': 0.001}",0.0,100.0,100.0,0.29,93.0,99.5
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.0,99.74,100.0,0.13,95.5,100.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.0,100.0,100.0,0.07,98.5,100.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.0001}",0.0,100.0,100.0,0.18,96.0,100.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 0.5, 'wd': 0.001}",0.0,100.0,100.0,0.15,97.5,100.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.0001}",0.91,64.19,98.83,1.24,55.0,98.5
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 1, 'wd': 0.001}",2.28,11.98,57.42,2.32,10.0,57.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.0001}",1.99,22.66,80.86,2.12,14.0,73.5
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 5, 'wd': 0.001}",2.08,21.09,74.09,2.22,9.5,64.5
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.0001}",2.28,12.24,56.51,2.35,10.0,46.0
"{'lr': 0.01, 'repadapter_bottleneck': 8, 'repadapter_scaler': 10, 'wd': 0.001}",1.87,30.34,80.73,1.95,23.0,77.5
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.0,100.0,100.0,0.11,96.5,100.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.0,100.0,100.0,0.13,97.0,100.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.0001}",1.43,43.88,92.97,1.57,36.5,95.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 0.5, 'wd': 0.001}",1.54,38.8,91.28,1.76,32.5,89.5
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.0001}",1.66,35.55,88.67,1.84,28.0,83.5
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 1, 'wd': 0.001}",1.58,38.02,90.49,1.84,33.0,86.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.0001}",2.28,13.8,56.9,2.32,10.0,57.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 5, 'wd': 0.001}",2.05,23.31,77.6,2.04,21.5,73.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.0001}",2.27,14.19,59.11,2.29,10.0,56.0
"{'lr': 0.01, 'repadapter_bottleneck': 16, 'repadapter_scaler': 10, 'wd': 0.001}",2.09,22.14,74.48,2.11,19.0,69.5
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.0001}",0.0,100.0,100.0,0.15,96.5,100.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.1, 'wd': 0.001}",0.0,99.87,100.0,0.16,95.0,100.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.0001}",1.34,49.22,94.4,1.87,31.0,88.5
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 0.5, 'wd': 0.001}",1.57,35.42,90.89,1.74,31.0,88.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.0001}",1.88,28.12,82.81,1.93,20.0,77.0
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 1, 'wd': 0.001}",1.7,36.98,87.5,1.8,29.5,83.5
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 5, 'wd': 0.0001}",1.83,28.39,84.38,1.92,23.5,78.5
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 5, 'wd': 0.001}",2.28,14.58,59.9,2.31,13.0,58.5
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 10, 'wd': 0.0001}",1.94,26.04,80.21,2.04,18.0,68.5
"{'lr': 0.01, 'repadapter_bottleneck': 32, 'repadapter_scaler': 10, 'wd': 0.001}",2.28,12.63,57.16,2.32,10.0,46.5
